"id","zodis","skaicius"
1,"&",14
2,"0",1
3,"000",55
4,"1",688
5,"10",127
6,"100",7
7,"1000",3
8,"1001",1
9,"1002",1
10,"1003",1
11,"1004",1
12,"1005",1
13,"1006",1
14,"1007",1
15,"1008",1
16,"1009",1
17,"101",3
18,"1010",1
19,"1011",1
20,"1012",2
21,"1013",1
22,"1014",1
23,"1015",1
24,"1016",1
25,"1017",1
26,"1018",1
27,"1019",1
28,"102",4
29,"1020",1
30,"1021",1
31,"1022",1
32,"1023",1
33,"1024",1
34,"1025",1
35,"1026",2
36,"1027",1
37,"1028",1
38,"1029",1
39,"103",2
40,"1030",1
41,"1031",1
42,"1032",1
43,"1033",1
44,"1034",1
45,"1035",1
46,"1036",1
47,"1037",1
48,"1038",1
49,"1039",1
50,"104",3
51,"1040",1
52,"1041",1
53,"1042",1
54,"1043",1
55,"1044",1
56,"1045",1
57,"1046",1
58,"1047",1
59,"1048",1
60,"1049",1
61,"105",3
62,"1050",1
63,"1051",1
64,"1052",1
65,"1053",1
66,"1054",1
67,"1055",1
68,"1056",1
69,"1057",1
70,"1058",2
71,"1059",1
72,"106",2
73,"1060",1
74,"1061",1
75,"1062",1
76,"1063",1
77,"1064",1
78,"1065",1
79,"1066",1
80,"1067",1
81,"1068",1
82,"1069",1
83,"107",1
84,"1070",1
85,"1071",1
86,"1072",1
87,"1073",1
88,"1074",1
89,"1075",1
90,"1076",1
91,"1077",1
92,"1078",1
93,"1079",1
94,"107th",1
95,"108",2
96,"1080",1
97,"1081",1
98,"1082",1
99,"1083",1
100,"1084",1
101,"1085",1
102,"1086",1
103,"1087",1
104,"1088",1
105,"1089",1
106,"109",2
107,"1090",1
108,"1091",1
109,"1092",1
110,"1093",1
111,"1094",1
112,"1095",1
113,"1096",1
114,"1097",1
115,"1098",1
116,"1099",1
117,"10th",1
118,"11",106
119,"11°",1
120,"110",3
121,"1100",1
122,"1101",1
123,"1102",1
124,"1103",1
125,"1104",1
126,"1105",1
127,"1106",1
128,"1107",1
129,"1108",1
130,"1109",1
131,"111",1
132,"1110",1
133,"1111",1
134,"1112",1
135,"1113",1
136,"1114",1
137,"1115",1
138,"1116",1
139,"1117",1
140,"1118",1
141,"1119",1
142,"112",3
143,"1120",1
144,"1121",1
145,"1122",1
146,"1123",1
147,"1124",2
148,"1125",1
149,"1126",1
150,"1127",1
151,"1128",1
152,"1129",1
153,"113",2
154,"1130",1
155,"1131",1
156,"1132",1
157,"1133",1
158,"1134",1
159,"1135",1
160,"1136",1
161,"1137",1
162,"1138",1
163,"1139",1
164,"114",3
165,"1140",1
166,"1141",1
167,"1142",1
168,"1143",1
169,"1144",1
170,"1145",1
171,"1146",1
172,"1147",1
173,"1148",1
174,"1149",1
175,"115",1
176,"1150",1
177,"1151",1
178,"1152",1
179,"1153",1
180,"1154",2
181,"1155",1
182,"1156",1
183,"1157",1
184,"1158",1
185,"1159",1
186,"116",3
187,"1160",1
188,"1161",1
189,"1162",1
190,"1163",1
191,"1164",1
192,"1165",1
193,"1166",2
194,"1167",1
195,"1168",1
196,"1169",1
197,"117",1
198,"1170",1
199,"1171",1
200,"1172",1
201,"1173",1
202,"1174",1
203,"1175",1
204,"1176",1
205,"1177",1
206,"1178",1
207,"1179",1
208,"118",2
209,"1180",1
210,"1181",1
211,"1182",1
212,"1183",1
213,"1184",1
214,"1185",1
215,"1186",1
216,"1187",1
217,"1188",1
218,"1189",1
219,"119",2
220,"1190",1
221,"1191",1
222,"1192",1
223,"1193",1
224,"1194",1
225,"1195",1
226,"1196",1
227,"1197",1
228,"1198",1
229,"1199",1
230,"11th",1
231,"12",105
232,"120",6
233,"1200",1
234,"1201",1
235,"1202",1
236,"1203",1
237,"1204",1
238,"1205",1
239,"1206",1
240,"1207",1
241,"1208",1
242,"1209",1
243,"121",1
244,"1210",1
245,"1211",1
246,"1212",1
247,"1213",1
248,"1214",1
249,"1215",1
250,"1216",2
251,"1217",1
252,"1218",1
253,"1219",1
254,"122",2
255,"1220",1
256,"1221",1
257,"1222",1
258,"1223",1
259,"1224",1
260,"1225",1
261,"1226",2
262,"1227",1
263,"1228",1
264,"1229",1
265,"123",3
266,"1230",2
267,"1231",1
268,"1232",1
269,"1233",1
270,"1234",1
271,"1235",1
272,"1236",1
273,"1237",1
274,"1238",1
275,"1239",1
276,"124",1
277,"1240",1
278,"1241",1
279,"1242",1
280,"1243",1
281,"1244",1
282,"1245",1
283,"1246",1
284,"1247",1
285,"1248",1
286,"1249",1
287,"125",3
288,"1250",2
289,"1251",1
290,"1252",1
291,"1253",1
292,"1254",1
293,"1255",1
294,"1256",1
295,"1257",2
296,"1258",1
297,"1259",1
298,"126",1
299,"1260",1
300,"1261",1
301,"1262",1
302,"1263",1
303,"1264",1
304,"1265",1
305,"1266",1
306,"1267",1
307,"1268",1
308,"1269",1
309,"127",2
310,"1270",2
311,"1271",1
312,"1272",1
313,"1273",1
314,"1274",1
315,"1275",1
316,"1276",1
317,"1277",1
318,"1278",1
319,"1279",1
320,"128",2
321,"1280",1
322,"1281",1
323,"1282",1
324,"1283",1
325,"1284",1
326,"1285",1
327,"1286",1
328,"1287",1
329,"1288",1
330,"1289",1
331,"129",5
332,"1290",1
333,"1291",1
334,"1292",1
335,"1293",1
336,"1294",1
337,"1295",1
338,"1296",1
339,"1297",1
340,"1298",1
341,"1299",1
342,"12ma",1
343,"12mo",1
344,"13",89
345,"130",4
346,"1300",1
347,"1301",1
348,"1302",1
349,"1303",1
350,"1304",1
351,"1305",1
352,"1306",2
353,"1307",1
354,"1308",1
355,"1309",1
356,"131",2
357,"1310",1
358,"1311",1
359,"1312",1
360,"1313",1
361,"1314",1
362,"1315",1
363,"1316",1
364,"1317",1
365,"1318",2
366,"1319",1
367,"132",3
368,"1320",2
369,"1321",1
370,"1322",1
371,"1323",1
372,"1324",1
373,"1325",1
374,"1326",1
375,"1327",1
376,"1328",1
377,"1329",1
378,"133",1
379,"1330",1
380,"1331",1
381,"1332",1
382,"1333",1
383,"1334",1
384,"1335",1
385,"1336",1
386,"1337",1
387,"1338",1
388,"1339",1
389,"134",1
390,"1340",1
391,"1341",1
392,"1342",1
393,"1343",1
394,"1344",1
395,"1345",2
396,"1346",1
397,"1347",1
398,"1348",1
399,"1349",1
400,"135",1
401,"1350",1
402,"1351",1
403,"1352",1
404,"1353",1
405,"1354",1
406,"1355",1
407,"1356",1
408,"1357",1
409,"1358",1
410,"1359",1
411,"136",2
412,"1360",1
413,"1361",1
414,"1362",1
415,"1363",1
416,"1364",1
417,"1365",1
418,"1366",1
419,"1367",1
420,"1368",1
421,"1369",1
422,"137",4
423,"1370",1
424,"1371",1
425,"1372",1
426,"1373",1
427,"1374",1
428,"1375",1
429,"1376",1
430,"1377",1
431,"1378",1
